Symbol,Name,Last,MarketCap,Sector,Industry
AACG,ATA Creativity Global,1.35,3.2119999999999996E7,Consumer Services,Other Consumer Services
AAL,"American Airlines Group, Inc.",29.09,1.274E10,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation,1.99,4.075E7,Finance,Life Insurance
AAOI,"Applied Optoelectronics, Inc.",12.5,2.515E8,Technology,Semiconductors
AAON,"AAON, Inc.",49.89,2.6E9,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc.,300.35,1.33453E12,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings,27.73,7.174E8,Transportation,Transportation Services
AAXN,"Axon Enterprise, Inc.",76.56,4.54E9,Capital Goods,Ordnance And Accessories
ABCB,Ameris Bancorp,42.74,2.98E9,Finance,Major Banks
ABEO,Abeona Therapeutics Inc.,3.21,2.6814999999999997E8,Health Care,Major Pharmaceuticals
ABIO,"ARCA biopharma, Inc.",5.68,9050000.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,"ABIOMED, Inc.",168.81,7.62E9,Health Care,Medical/Dental Instruments
ABTX,"Allegiance Bancshares, Inc.",37.47,7.7977E8,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation,2.94,1.6714E8,Health Care,Major Pharmaceuticals
ACAD,ACADIA Pharmaceuticals Inc.,41.11,6.33E9,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,9.99,3.8158E8,Finance,Business Services
ACBI,"Atlantic Capital Bancshares, Inc.",18.255,3.9957E8,Finance,Major Banks
ACER,Acer Therapeutics Inc.,3.79,3.826E7,Health Care,Major Pharmaceuticals
ACGL,Arch Capital Group Ltd.,43.4,1.759E10,Finance,Property-Casualty Insurers
ACHC,"Acadia Healthcare Company, Inc.",33.15,2.94E9,Health Care,Medical Specialities
ACHN,"Achillion Pharmaceuticals, Inc.",6.07,8.5036E8,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",0.5199,4340000.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,"Acacia Communications, Inc.",68.09,2.81E9,Technology,Semiconductors
ACIU,AC Immune SA,8.66,5.8336E8,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",38.2,4.42E9,Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",24.52,7.9497E8,Technology,Industrial Machinery/Components
ACMR,"ACM Research, Inc.",18.93,3.4446E8,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,37.01,2.6182999999999997E8,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",1.96,9.414E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRS,"Aclaris Therapeutics, Inc.",1.87,7.74E7,Health Care,Major Pharmaceuticals
ACRX,"AcelRx Pharmaceuticals, Inc.",2.07,1.6472E8,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",2.38,2.1178E8,Health Care,Major Pharmaceuticals
ACTG,Acacia Research Corporation,2.63,1.324E8,Miscellaneous,Multi-Sector Companies
ACTT,Act II Global Acquisition Corp.,10.1,3.7875E8,Finance,Business Services
ACTTW,Act II Global Acquisition Corp.,1.0,2.175E7,Finance,Business Services
ADAP,Adaptimmune Therapeutics plc,1.22,1.2830000000000001E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,334.43,1.6131E11,Technology,Computer Software: Prepackaged Software
ADES,"Advanced Emissions Solutions, Inc.",10.43,1.9388E8,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",120.43,4.435E10,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",2.44,2.518E7,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,3.935,2.3342E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation,0.7542,4.648E7,Health Care,Major Pharmaceuticals
ADMS,"Adamas Pharmaceuticals, Inc.",4.08,1.1366E8,Health Care,Major Pharmaceuticals
ADP,"Automatic Data Processing, Inc.",170.32,7.37E10,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation,29.37,3.65E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRO,"Aduro Biotech, Inc.",1.18,9.501E7,Health Care,Major Pharmaceuticals
ADSK,"Autodesk, Inc.",187.83,4.133E10,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",10.01,4.7874E8,Public Utilities,Telecommunications Equipment
ADUS,Addus HomeCare Corporation,95.07,1.48E9,Health Care,Medical/Nursing Services
ADVM,"Adverum Biotechnologies, Inc.",11.74,7.5826E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXS,"Advaxis, Inc.",1.09,2.693E7,Health Care,Major Pharmaceuticals
AEGN,Aegion Corp,22.11,6.8008E8,Basic Industries,Water Supply
AEHR,Aehr Test Systems,2.07,4.707E7,Capital Goods,Electrical Products
AEIS,"Advanced Energy Industries, Inc.",71.72,2.75E9,Capital Goods,Industrial Machinery/Components
AEMD,"Aethlon Medical, Inc.",1.25,1800000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AERI,"Aerie Pharmaceuticals, Inc.",23.8,1.1E9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AESE,"Allied Esports Entertainment, Inc.",2.69,6.234E7,Consumer Services,Services-Misc. Amusement & Recreation
AEY,"ADDvantage Technologies Group, Inc.",2.4,2.487E7,Consumer Services,Office Equipment/Supplies/Services
AEYE,"AudioEye, Inc.",4.9,4.35E7,Technology,Computer Software: Prepackaged Software
AEZS,AEterna Zentaris Inc.,0.8815,1.766E7,Health Care,Major Pharmaceuticals
AFH,"Atlas Financial Holdings, Inc.",0.4485,5350000.0,Finance,Property-Casualty Insurers
AFIN,"American Finance Trust, Inc.",12.76,1.36E9,Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",25.03,3.004E7,Consumer Services,Real Estate Investment Trusts
AFMD,Affimed N.V.,2.65,2.02E8,Health Care,Major Pharmaceuticals
AFYA,Afya Limited,27.58,2.48E9,Consumer Services,Other Consumer Services
AGBA,AGBA Acquisition Limited,10.1,6.035E7,Finance,Business Services
AGBAU,AGBA Acquisition Limited,10.3,6.154E7,Finance,Business Services
AGEN,Agenus Inc.,4.04,5.5494E8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,"AgroFresh Solutions, Inc.",2.75,1.4013E8,Finance,Business Services
AGIO,"Agios Pharmaceuticals, Inc.",47.52,3.25E9,Health Care,Major Pharmaceuticals
AGLE,"Aeglea BioTherapeutics, Inc.",7.75,2.2464E8,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,16.14,3.4404E8,Technology,EDP Services
AGNC,AGNC Investment Corp.,17.78,9.62E9,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,26.1,339300.0,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,25.8,2.4252E8,Consumer Services,Real Estate Investment Trusts
AGRX,"Agile Therapeutics, Inc.",2.97,1.7613E8,Health Care,Major Pharmaceuticals
AGTC,Applied Genetic Technologies Corporation,4.15,7.561E7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGYS,"Agilysys, Inc.",25.81,6.1063E8,Technology,EDP Services
AHCO,AdaptHealth Corp. ,10.99,7.9579E8,Health Care,Medical/Nursing Services
AHPI,"Allied Healthcare Products, Inc.",1.26,5060000.0,Health Care,Industrial Specialties
AIH,Aesthetic Medical International Holdings Group Ltd.,6.49,1.5325E8,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited,0.7051,2.033E7,Finance,Finance: Consumer Services
AIMC,Altra Industrial Motion Corp.,36.42,2.35E9,Capital Goods,Industrial Machinery/Components
AIMT,"Aimmune Therapeutics, Inc.",35.01,2.22E9,Health Care,Major Pharmaceuticals
AIRG,"Airgain, Inc.",10.69,1.0366E8,Technology,Radio And Television Broadcasting And Communications Equipment
AIRT,"Air T, Inc.",20.15,6.093E7,Transportation,Air Freight/Delivery Services
AKAM,"Akamai Technologies, Inc.",87.64,1.416E10,Miscellaneous,Business Services
AKBA,"Akebia Therapeutics, Inc.",6.34,7.541E8,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",16.99,1.6E9,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,3.3613,3820000.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRO,"Akero Therapeutics, Inc.",20.08,5.7346E8,Health Care,Major Pharmaceuticals
AKRX,"Akorn, Inc.",1.33,1.6777E8,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",8.15,2.9473E8,Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics Plc,1.74,3.656E7,Health Care,Major Pharmaceuticals
ALAC,Alberton Acquisition Corporation,10.35,1.5204E8,Finance,Business Services
ALBO,"Albireo Pharma, Inc.",24.63,3.1247E8,Health Care,Major Pharmaceuticals
